rsid	PheWasP	PheWasTrait	chr	n	vP	mP	MoBaTrait	MobaAF
rs3095155	1.12254e-68	Neutrophill count	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	6.20012e-67	Non-cancer illness code, self-reported: hyperthyroidism/thyrotoxicosis	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	7.83971e-67	Aspartate aminotransferase	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	8.97842e-67	Aspartate aminotransferase levels	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	1.50003e-65	Hyperthyroidism or thyrotoxicosis	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	1.20226e-62	MHC class I polypeptide-related sequence B	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	1.9002e-62	Type 1 diabetes	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	2.334e-62	Type 1 diabetes	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	1.48047e-60	Non-cancer illness code  self-reported: hyperthyroidism/thyrotoxicosis	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	4.79954e-56	Sitting height	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	1.39991e-54	Reticulocyte count	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	7.14167e-53	Eosinophil counts	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	3.69999e-52	Thyroid problem (not cancer)	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	2.13993e-49	Peak expiratory flow	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	4.14668e-48	Autoimmune diseases	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	3.66185e-47	Medication use (thyroid preparations)	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	3.37987e-46	Hemoglobin concentration	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	1.50003e-43	Mean spheric corpuscular volume	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	2.50323e-43	Mean reticulocyte volume	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	3.2107e-43	Type 1 diabetes	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	4.10015e-43	Diabetes or endocrine disease	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	1.93731e-41	Haemoglobin concentration (UKB data field 30020)	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	8.97842e-41	Monocyte count	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	1.59993e-40	Hemoglobin	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	3.59998e-40	Reticulocyte fraction of red cells	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	1.52616e-39	Myeloid white cell count	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	6.64661e-39	Sitting height	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	6.60998e-38	Red blood cell count	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	5.09448e-37	Sum eosinophil basophil counts	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	5.49667e-37	Hypothyroidism or myxoedema (Firth correction)	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	7.18787e-37	Hypothyroidism or myxoedema (SPA correction)	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	1.29987e-35	High light scatter reticulocyte count	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	3.1521e-35	Granulocyte count	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	3.97009e-35	Red cell distribution width	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	4.79954e-35	Lung function (FEV1/FVC)	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	8.26038e-35	Hematocrit	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	2.19989e-34	Standing height	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	3.23594e-34	Sum neutrophil eosinophil counts	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	4.49676e-34	Red blood cell (erythrocyte) distribution width	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	4.7863e-33	cAMP-specific 3',5'-cyclic phosphodiesterase 4D	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	1.53003e-32	Eosinophil counts	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	2.29985e-32	Treatment/medication code: levothyroxine sodium	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	4.81393e-32	FEV1	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	6.09958e-32	Red blood cell count	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	2.51131e-31	Haemoglobin concentration	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	2.72772e-31	Early-onset myasthenia gravis	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	2.85891e-31	Hemoglobin	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	3.3037e-31	Reticulocyte count	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	4.54674e-31	Platelet count (UKB data field 30080)	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	7.29962e-31	Red cell distribution width	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	1.33352e-30	Cystatin C levels (UKB data field 30720)	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	3.92013e-30	Platelet count	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	3.95731e-30	Sum basophil neutrophil counts	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	4.22182e-30	Triglyceride levels (UKB data field 30870)	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	8.4004e-30	Hematocrit	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	2.0649e-29	Dermatitis herpetiformis	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	3.77398e-29	Neutrophil count	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	1.11995e-28	Common schizophrenia alleles are enriched in mutation-intolerant genes and in regions under strong background selection, CLOZUK+PGC2	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	1.1749e-28	Glutamate receptor 4	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	1.39412e-28	Height	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	2.11203e-28	Schizophrenia	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	2.49977e-28	Non-cancer illness code, self-reported: hypothyroidism/myxoedema	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	3.01717e-28	Schizophrenia	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	4.19952e-28	Treatment/medication code: insulin product	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	5.57442e-28	Hyperthyroidism	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	1.3116e-27	Red blood cell erythrocyte count (UKB data field 30010)	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	2.70023e-27	Hypothyroidism or myxedema	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	3.20332e-27	ENSG00000225851	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	5.50047e-27	apolipoprotein A-I	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	5.72532e-27	Thyrotoxicosis with diffuse goitre	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	1.9002e-26	High light scatter reticulocyte percentage of red cells	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	2.61517e-26	ENSG00000204613	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	3.68299e-26	Treatment/medication code: insulin product	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	3.71364e-26	Graves' disease	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	4.58353e-26	Standing height	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	6.00067e-26	Started insulin within one year diagnosis of diabetes	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	7.54745e-26	Platelet count	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	7.89951e-26	Platelet count	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	8.45668e-26	Platelet count	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	1.19812e-25	Schizophrenia	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	1.22462e-25	ENSG00000237669	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	2.44681e-25	Glycated haemoglobin HbA1c levels (UKB data field 30750)	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	2.63572e-25	Disorders of thyroid, IBD co-morbidities	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	2.97989e-25	Basophil count	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	2.97989e-25	basophil cell count	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	1.57797e-24	Complement C2 measurement	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	1.92708e-24	Other bullous disorders	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	1.95299e-24	Apolipoprotein A levels (UKB data field 30630)	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	2.67547e-24	Reticulocyte percentage	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	2.70023e-24	triglycerides	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	4.79071e-24	Reticulocyte count	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	7.97444e-24	Treatment/medication code: levothyroxine sodium	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	1.10103e-23	Hypothyroidism	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	1.57616e-23	Cystatin C	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	2.30622e-23	Cystatin C	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	2.31526e-23	Appendicular lean mass	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	2.81125e-23	IGF 1 (UKB data field 30770)	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	3.26738e-23	ENSG00000204536	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	4.45143e-23	Triglycerides	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	4.45964e-23	Systemic connective tissue disorders	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	5.5616e-23	Triglycerides	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	9.9793e-23	Cholesterol levels (UKB data field 30690)	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	2.76058e-22	ENSG00000225059	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	2.82293e-22	Apoliprotein A	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	6.07156e-22	diastolic blood pressure	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	6.47143e-22	Started insulin within one year diagnosis of diabetes	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	7.16803e-22	Hemoglobin A1c levels	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	7.39435e-22	Glycated haemoglobin	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	1.12642e-21	ENSG00000243753	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	1.64816e-21	Non-cancer illness code  self-reported: hypothyroidism/myxoedema	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	1.75914e-21	Aspartate aminotransferase	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	2.29985e-21	Leg fat-free mass (right)	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	2.99985e-21	Leg predicted mass (right)	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	3.10027e-21	HDL cholesterol	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	6.30376e-21	High light scatter reticulocyte count	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	1e-20	Basal metabolic rate	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	1.50003e-20	telomere length	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	1.80011e-20	Whole body fat-free mass	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	2.19989e-20	Leg predicted mass (left)	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	2.19989e-20	Leg fat-free mass (left)	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	2.19989e-20	Whole body water mass	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	2.77907e-20	IgA nephropathy	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	4.09166e-20	Sj<U+00F6>gren's syndrome	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	4.10488e-20	IGF-1	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	6.24885e-20	Glycated haemoglobin	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	6.51328e-20	Mean sphered cell volume	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	8.4004e-20	Eosinophil percentage of white cells	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	1.10002e-19	Diagnoses - main ICD10: R31 Unspecified haematuria	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	1.47605e-19	schizophrenia	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	2.74916e-19	Psoriasis	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	2.76121e-19	Red blood cell (erythrocyte) count	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	2.80027e-19	Arm fat-free mass (left)	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	2.84905e-19	Red blood cell count	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	4.1783e-19	Leg fat-free mass (right)	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	5.04197e-19	Gamma glutamyltransferase levels (UKB data field 30730)	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	5.07341e-19	Apoliprotein A	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	5.96211e-19	Thyrotoxicosis	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	8.08165e-19	Lung cancer	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	8.91251e-19	Leg predicted mass (right)	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	1.15611e-18	Reticulocyte fraction of red cells	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	1.20005e-18	Trunk fat-free mass	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	1.23197e-18	High density lipoprotein cholesterol levels (UKB data field 30760)	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	1.39991e-18	Arm predicted mass (left)	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	1.41286e-18	ENSG00000204531	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	1.50003e-18	Trunk predicted mass	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	1.51356e-18	Complement C4	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	1.60546e-18	Haematocrit percentage	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	1.77296e-18	Hematocrit	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	2.39994e-18	Connective tissue disorder	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	3.32736e-18	Triglycerides	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	3.63078e-18	IGF-1	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	4.32713e-18	Varicella zoster virus glycoproteins E and I antibody levels	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	6.09958e-18	Weight	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	6.12774e-18	Other systemic involvement of connective tissue	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	1.01018e-17	Leg predicted mass (left)	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	1.10357e-17	Leg fat-free mass (left)	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	1.59993e-17	Weight	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	1.69981e-17	Time to complete round	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	1.69981e-17	Mouth/teeth dental problems: Dentures	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	1.79019e-17	Thyrotoxicosis, other and/or unspecified	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
